;nombre;precio;precioAnterior
0;Chanclas unisex TEX (Tallas 31 a 39);2  €;4,99 €
1;Chanclas TEX;5  €;9,99 €
2;Chanclas estampadas TEX;3  €;6,99 €
3;Chanclas estampadas TEX;3  €;6,99 €
4;Chanclas deportivas TEX;5  €;9,99 €
5;Chanclas estampadas TEX;3  €;6,99 €
6;Chanclas de doble tira TEX;3  €;9,99 €
7;Chanclas con pompones TEX;2  €;6,99 €
8;Chanclas bicolor TEX;2  €;6,99 €
9;Chanclas estampadas TEX;3  €;6,99 €
10;Chanclas unisex TEX (Tallas 31 a 39);2  €;6,99 €
11;Chanclas estampadas TEX;3  €;6,99 €
12;Chanclas lisas TEX;1  €;1,50 €
13;Chanclas TEX;5  €;9,99 €
14;Chanclas estampadas TEX;2  €;6,99 €
15;Chanclas estampadas TEX;2  €;4,99 €
16;Chanclas lisas TEX;2  €;4,99 €
17;Chanclas estampadas TEX;1  €;2,99 €
18;Chanclas bicolor TEX;2  €;6,99 €
19;Chanclas de pompones TEX;3  €;6,99 €
20;Chanclas TEX (Tallas 31 a 39);2  €;6,99 €
21;Chanclas de glitter TEX;2  €;4,99 €
22;Chanclas lisas TEX;1  €;1,50 €
23;Chanclas deportivas unisex TEX (Tallas 31 a 39);2  €;4,99 €
24;Chanclas estampadas TEX (Tallas 31 a 39);3  €;6,99 €
25;Chanclas TEX;4  €;4,99 €
26;Chanclas TEX;5  €;9,99 €
27;Chanclas con pompones TEX;2  €;6,99 €
28;Chanclas deportivas TEX;5  €;9,99 €
29;Chanclas de glitter TEX;2  €;4,99 €
30;Chanclas estampadas unisex TEX (Tallas 31 a 39);1  €;2,99 €
31;Chanclas TEX;3  €;6,99 €
32;Chanclas degradado TEX;2  €;6,99 €
33;Chanclas degradado TEX;2  €;6,99 €
34;Chanclas estampadas TEX;3  €;6,99 €
35;Chanclas estampadas con cuña TEX;3  €;6,99 €
36;Chanclas de cuña con abalorios TEX;4  €;9,99 €
37;Chanclas transparentes TEX (Tallas 28 a 35);3  €;6,99 €
38;Chanclas TEX;4  €;4,99 €
39;Zuecos de agua;2  €;6,99 €
40;Chanclas de cuña con abalorios TEX;4  €;9,99 €
41;Chanclas estampadas TEX;1  €;2,99 €
